ervaring,trainingtype,500_split,2k tijd,binary_trainingtype,binary_geslacht,binary_gewichtsklasse
0,3x7',116.0,415.6,11110,0,0
0,57',130.3,421.9,11101,0,0
0,3x7',114.0,415.6,11110,0,0
0,3x2000m,115.0,420.5,11,0,0
0,3x2000m,110.7,411.4,11,0,0
0,3x2000m,103.8,402.7,11,0,0
0,3x10',118.3,439.7,10000,0,0
0,3x10',118.8,431.6,10000,0,0
0,3x8',118.9,428.3,11111,0,0
0,1000m,106.0,413.7,10001,0,0
0,1',99.2,416.9,1001,0,0
0,2000m,104.9,421.9,1010,0,0
0,3x2000m,109.2,411.4,11,0,0
0,1',103.9,419.3,1001,0,0
0,3x7',117.2,427.7,11110,0,0
0,3x7',123.2,428.3,11110,0,0
0,3x2000m,121.8,420.5,11,0,0
0,3x2000m,116.8,420.3,11,0,0
0,1',99.1,418.6,1001,0,0
0,3x2000m,116.5,419.0,11,0,0
0,5x5',115.0,428.3,0,0,0
0,3x10',116.8,432.4,10000,0,0
0,2x2000m,106.6,412.5,1100,0,0
0,3x10',116.2,419.3,10000,0,0
0,1500m+500m,106.8,421.9,10010,0,0
0,3x10',115.6,431.6,10000,0,0
0,3x8',118.3,428.3,11111,0,0
0,1',101.2,419.3,1001,0,0
0,3x2000m,119.4,421.9,11,0,0
0,3x10',119.0,431.6,10000,0,0
0,5x5',115.1,428.3,0,0,0
0,1',99.5,412.5,1001,0,0
0,3x20',132.0,433.8,10,0,0
0,3x8',119.2,415.6,11111,0,0
0,3x10',115.9,419.3,10000,0,0
0,3x2000m,115.7,420.5,11,0,0
0,3x8',116.7,420.5,11111,0,0
0,3x7',121.0,428.3,11110,0,0
0,1',99.0,418.6,1001,0,0
0,3x2000m,126.3,449.0,11,0,0
0,3x8',113.6,415.6,11111,0,0
0,3x7',118.8,428.3,11110,0,0
0,3x7',123.2,449.0,11110,0,0
0,3x10',117.5,419.3,10000,0,0
0,1000m+500m,103.2,415.6,10110,0,0
0,3x7',117.4,428.3,11110,0,0
0,3x8',124.9,420.5,11111,0,0
0,3x2000m,127.9,449.0,11,0,0
0,3x10',116.7,418.6,10000,0,0
0,3x2000m,115.6,421.9,11,0,0
0,3x2000m,114.0,420.5,11,0,0
0,3x7',117.6,428.3,11110,0,0
0,3x2000m,123.5,421.9,11,0,0
0,3x2000m,111.4,420.5,11,0,0
0,3x10',114.9,419.3,10000,0,0
0,100m,89.5,415.0,11011,0,0
0,1',103.0,412.5,1001,0,0
0,3x2000m,113.1,420.3,11,0,0
0,3x10',119.6,439.7,10000,0,0
0,3x10',117.8,418.6,10000,0,0
0,3x7',112.2,405.5,11110,0,0
0,3x8',116.8,415.6,11111,0,0
0,3x2000m,110.6,421.9,11,0,0
0,3x10',115.0,419.3,10000,0,0
0,1500m+500m,106.3,420.8,10010,0,0
0,3x7',115.7,428.3,11110,0,0
0,3x2000m,113.8,405.5,11,0,0
0,3x2000m,116.8,420.5,11,0,0
0,1500m+500m,101.3,421.9,10010,0,0
0,1',104.6,419.3,1001,0,0
0,3x10',119.1,412.5,10000,0,0
0,1',98.3,418.6,1001,0,0
0,1',107.0,433.8,1001,0,0
0,5x5',116.4,427.7,0,0,0
0,3x2000m,113.3,421.9,11,0,0
0,3x8',118.9,420.5,11111,0,0
0,3x2000m,117.8,421.9,11,0,0
0,3x10',100.4,412.5,10000,0,0
0,3x10',120.3,420.8,10000,0,0
0,3x2000m,115.8,421.9,11,0,0
0,1500m+500m,104.7,420.5,10010,0,0
0,3x8',118.2,427.7,11111,0,0
0,3x2000m,122.9,427.7,11,0,0
0,3x10',118.9,420.8,10000,0,0
0,3x10',120.3,418.6,10000,0,0
0,2x2000m,115.7,418.6,1100,0,0
0,3x7',114.6,415.6,11110,0,0
0,3x20',127.0,415.0,10,0,0
0,1',104.9,429.2,1001,0,0
0,1500m+500m,109.0,439.7,10010,0,0
0,3x2000m,113.1,421.9,11,0,0
0,57',126.5,402.7,11101,0,0
0,2x2000m,110.8,418.6,1100,0,0
0,1500m+500m,95.0,402.7,10010,0,0
0,3x2000m,115.7,420.3,11,0,0
0,3x7',114.0,415.6,11110,0,0
0,3x7',121.7,449.0,11110,0,0
0,3x2000m,117.8,421.9,11,0,0
0,1',101.0,415.0,1001,0,0
0,2x10',130.1,412.5,101100,0,0
0,3x10',117.3,418.6,10000,0,0
0,1',106.5,432.4,1001,0,0
0,3x2000m,119.4,421.9,11,0,0
0,100m,89.5,413.7,11011,0,0
0,3x7',120.0,427.7,11110,0,0
0,3x10',120.7,432.4,10000,0,0
0,3x2000m,112.8,419.0,11,0,0
0,3x7',122.4,449.0,11110,0,0
0,1',102.4,419.3,1001,0,0
0,3x2000m,127.6,449.0,11,0,0
0,1',103.4,419.3,1001,0,0
0,1',103.1,419.3,1001,0,0
0,3x10',110.8,419.3,10000,0,0
0,3x2000m,114.2,420.5,11,0,0
0,3x10',121.8,420.8,10000,0,0
0,5x5',109.2,415.0,0,0,0
0,1',102.3,419.3,1001,0,0
0,1500m+500m,107.6,427.7,10010,0,0
0,1',106.7,432.4,1001,0,0
0,3x2000m,112.6,411.4,11,0,0
0,3x2000m,113.8,420.3,11,0,0
0,1',103.8,429.2,1001,0,0
0,3x10',114.7,419.3,10000,0,0
0,1',102.4,419.3,1001,0,0
0,1',103.4,418.6,1001,0,0
0,3x2000m,119.3,419.0,11,0,0
0,1',98.4,412.5,1001,0,0
0,1',100.9,419.3,1001,0,0
0,1',101.1,412.5,1001,0,0
0,1',103.3,416.9,1001,0,0
0,3x10',114.3,420.8,10000,0,0
0,3x7',112.8,405.5,11110,0,0
0,100m,92.0,433.8,11011,0,0
0,3x10',123.7,418.6,10000,0,0
0,2x2000m,106.3,412.5,1100,0,0
0,3x4000m,111.6,405.5,1110,0,0
0,1',104.7,419.3,1001,0,0
0,3x2000m,117.5,421.9,11,0,0
0,3x2000m,108.2,405.5,11,0,0
0,2x10',124.1,418.6,101100,0,0
0,3x2000m,123.6,428.3,11,0,0
0,3x8',117.8,427.7,11111,0,0
0,1500m+500m,102.5,420.5,10010,0,0
0,3x10',116.1,429.2,10000,0,0
0,1000m,112.2,449.0,10001,0,0
0,3x2000m,118.2,420.3,11,0,0
0,1',100.1,418.6,1001,0,0
0,3x8',121.0,428.3,11111,0,0
0,3x2000m,113.9,402.7,11,0,0
0,3x2000m,116.1,427.7,11,0,0
0,5x5',114.5,424.5,0,0,0
0,3x7',111.8,420.5,11110,0,0
0,3x8',110.7,405.5,11111,0,0
0,3x20',125.0,427.1,10,0,0
0,3x10',113.4,419.3,10000,0,0
0,3x7',115.6,405.5,11110,0,0
0,3x10',115.5,432.4,10000,0,0
0,1',106.6,412.5,1001,0,0
0,1500m+500m,102.4,420.3,10010,0,0
0,3x7',126.1,428.3,11110,0,0
0,3x20',126.0,413.7,10,0,0
0,1',102.1,420.8,1001,0,0
0,3x7',110.8,405.5,11110,0,0
0,1500m+500m,105.8,419.0,10010,0,0
0,5x5',111.2,415.6,0,0,0
0,3x2000m,111.4,421.9,11,0,0
0,3x10',117.8,431.6,10000,0,0
0,3x20',144.0,424.5,10,0,0
0,3x2000m,120.4,428.3,11,0,0
0,1500m+500m,107.2,428.3,10010,0,0
0,3x4000m,110.5,405.5,1110,0,0
0,3x8',113.9,420.5,11111,0,0
0,100m,93.0,432.3,11011,0,0
0,3x2000m,111.0,411.4,11,0,0
0,1',107.7,412.5,1001,0,0
0,3x8',119.4,428.3,11111,0,0
0,3x10',120.5,419.3,10000,0,0
0,3x4000m,118.2,428.3,1110,0,0
0,3x8',116.3,428.3,11111,0,0
0,1',101.8,418.6,1001,0,0
0,3x8',111.7,405.5,11111,0,0
0,3x2000m,108.9,411.4,11,0,0
0,2x2000m,110.8,418.6,1100,0,0
0,3x4000m,112.1,405.5,1110,0,0
0,1500m+500m,112.8,449.0,10010,0,0
0,1000m+500m,117.5,449.0,10110,0,0
0,1',101.7,419.3,1001,0,0
0,3x2000m,116.1,419.0,11,0,0
0,1',115.5,412.5,1001,0,0
0,1',108.0,418.6,1001,0,0
0,3x2000m,124.2,420.5,11,0,0
0,2000m,100.7,402.7,1010,0,0
0,3x7',118.3,420.5,11110,0,0
0,3x8',124.7,428.3,11111,0,0
0,3x8',114.7,415.6,11111,0,0
0,3x2000m,115.8,421.9,11,0,0
0,100m,93.0,424.5,11011,0,0
0,3x10',129.0,432.4,10000,0,0
0,3x10',116.6,418.6,10000,0,0
0,3x4000m,121.1,427.7,1110,0,0
0,3x2000m,105.7,405.5,11,0,0
0,3x2000m,110.3,415.6,11,0,0
0,3x2000m,108.8,420.3,11,0,0
0,3x10',111.1,419.3,10000,0,0
0,5x5',108.9,405.5,0,0,0
0,3x10',114.4,432.4,10000,0,0
0,1500m+500m,102.5,415.6,10010,0,0
0,2x2000m,107.6,412.5,1100,0,0
0,5x5',115.1,427.1,0,0,0
0,1',101.3,412.5,1001,0,0
0,3x2000m,122.6,421.9,11,0,0
0,3x4000m,118.7,428.3,1110,0,0
0,3x10',113.3,431.6,10000,0,0
0,3x8',109.7,405.5,11111,0,0
0,1',104.4,419.3,1001,0,0
0,1',102.7,412.5,1001,0,0
0,3x7',111.1,405.5,11110,0,0
0,1',101.0,419.3,1001,0,0
0,3x2000m,111.5,411.4,11,0,0
0,3x10',122.6,412.5,10000,0,0
0,3x10',118.2,412.5,10000,0,0
0,1',99.0,418.6,1001,0,0
0,3x4000m,118.0,420.5,1110,0,0
0,3x10',120.3,418.6,10000,0,0
0,3x2000m,116.5,428.3,11,0,0
0,3x2000m,114.0,415.6,11,0,0
0,3x2000m,115.0,402.7,11,0,0
0,5x5',106.0,405.5,0,0,0
0,1',106.0,439.7,1001,0,0
0,5x5',111.3,415.4,0,0,0
0,3x7',116.8,415.6,11110,0,0
0,3x10',99.0,412.5,10000,0,0
0,2x2000m,108.5,419.3,1100,0,0
0,3x2000m,113.5,421.9,11,0,0
0,3x2000m,122.4,420.5,11,0,0
0,3x8',111.0,405.5,11111,0,0
0,5x5',119.9,449.0,0,0,0
0,5x5',110.7,415.6,0,0,0
0,3x7',121.1,428.3,11110,0,0
0,3x8',117.9,428.3,11111,0,0
0,3x2000m,118.9,428.3,11,0,0
0,3x2000m,118.2,420.5,11,0,0
0,57',134.9,420.5,11101,0,0
0,3x7',125.3,449.0,11110,0,0
0,3x8',112.2,405.5,11111,0,0
0,3x2000m,115.1,420.5,11,0,0
0,5x5',106.6,405.5,0,0,0
0,3x10',115.3,431.6,10000,0,0
0,3x10',116.4,419.3,10000,0,0
0,3x10',120.3,418.6,10000,0,0
0,3x7',123.6,449.0,11110,0,0
0,1',105.0,418.6,1001,0,0
0,3x10',119.9,432.4,10000,0,0
0,3x2000m,117.3,427.7,11,0,0
0,5x5',112.4,415.4,0,0,0
0,3x2000m,118.6,420.3,11,0,0
0,1',116.9,412.5,1001,0,0
0,3x10',122.4,431.6,10000,0,0
0,3x2000m,115.6,420.5,11,0,0
0,3x8',116.3,428.3,11111,0,0
0,3x10',118.8,431.6,10000,0,0
0,3x2000m,109.7,402.7,11,0,0
0,3x7',118.1,427.7,11110,0,0
0,3x2000m,120.4,402.7,11,0,0
0,3x10',114.0,420.8,10000,0,0
0,3x10',121.9,439.7,10000,0,0
0,2x2000m,106.2,419.3,1100,0,0
0,3x7',111.3,405.5,11110,0,0
0,3x7',112.5,428.3,11110,0,0
0,3x10',115.3,431.6,10000,0,0
0,3x8',122.2,420.5,11111,0,0
0,3x7',119.0,420.5,11110,0,0
0,1000m,106.2,427.1,10001,0,0
0,3x10',99.6,412.5,10000,0,0
0,3x7',113.8,415.6,11110,0,0
0,1000m+500m,104.9,428.3,10110,0,0
0,3x10',119.8,439.7,10000,0,0
0,2x2000m,107.6,419.3,1100,0,0
0,3x7',115.0,415.6,11110,0,0
0,3x10',120.0,432.4,10000,0,0
0,2x2000m,106.8,418.6,1100,0,0
0,3x10',123.3,432.4,10000,0,0
0,3x2000m,123.3,420.3,11,0,0
0,3x10',115.2,419.3,10000,0,0
0,3x8',117.6,415.6,11111,0,0
0,3x10',117.3,431.6,10000,0,0
0,3x10',112.2,431.6,10000,0,0
0,1500m+500m,98.8,411.4,10010,0,0
0,3x2000m,117.4,428.3,11,0,0
0,3x10',117.7,429.2,10000,0,0
0,1',101.9,419.3,1001,0,0
0,2x10',128.5,412.5,101100,0,0
0,5x5',117.5,427.7,0,0,0
0,5x5',113.9,420.5,0,0,0
0,3x2000m,117.2,428.3,11,0,0
0,1',104.0,419.3,1001,0,0
0,1500m+500m,102.5,411.4,10010,0,0
0,3x4000m,118.0,428.3,1110,0,0
0,5x5',115.5,424.5,0,0,0
0,3x8',118.6,427.7,11111,0,0
0,3x10',118.3,431.6,10000,0,0
0,3x10',118.8,412.5,10000,0,0
0,3x2000m,122.4,420.3,11,0,0
0,3x2000m,115.4,419.0,11,0,0
0,3x8',119.0,427.7,11111,0,0
0,3x2000m,117.7,415.6,11,0,0
0,1',104.0,427.1,1001,0,0
0,3x2000m,117.8,415.6,11,0,0
0,3x2000m,129.9,420.3,11,0,0
0,1',101.0,420.8,1001,0,0
0,3x10',123.7,412.5,10000,0,0
0,3x7',116.5,428.3,11110,0,0
0,57',129.9,419.0,11101,0,0
0,3x20',126.0,423.2,10,0,0
0,1',102.5,419.3,1001,0,0
0,3x7',118.6,427.7,11110,0,0
0,3x2000m,121.3,427.7,11,0,0
0,1',103.2,431.6,1001,0,0
0,3x2000m,116.5,419.0,11,0,0
0,2x2000m,107.5,412.5,1100,0,0
0,3x10',118.8,431.6,10000,0,0
0,1',105.5,419.3,1001,0,0
0,3x2000m,117.9,428.3,11,0,0
0,1',112.0,424.5,1001,0,0
0,1000m+500m,106.9,427.7,10110,0,0
0,3x2000m,110.0,411.4,11,0,0
0,3x10',116.7,431.6,10000,0,0
0,1500m+500m,100.7,402.7,10010,0,0
0,3x2000m,109.9,411.4,11,0,0
0,3x7',119.3,428.3,11110,0,0
0,3x10',122.1,439.7,10000,0,0
0,3x10',118.2,439.7,10000,0,0
0,3x7',123.6,420.5,11110,0,0
0,3x7',124.6,449.0,11110,0,0
0,1',100.5,418.6,1001,0,0
0,1',101.9,418.6,1001,0,0
0,3x7',119.0,428.3,11110,0,0
0,3x2000m,115.7,428.3,11,0,0
0,3x2000m,116.0,420.3,11,0,0
0,2000m,106.4,419.0,1010,0,0
0,3x8',112.4,428.3,11111,0,0
0,3x2000m,111.5,415.6,11,0,0
0,3x7',120.1,428.3,11110,0,0
0,3x2000m,117.5,420.3,11,0,0
0,1',103.7,431.6,1001,0,0
0,3x10',114.1,431.6,10000,0,0
0,1',100.5,412.5,1001,0,0
0,1000m+500m,101.7,405.5,10110,0,0
0,1',104.3,431.6,1001,0,0
0,5x5',115.2,427.7,0,0,0
0,3x8',119.2,427.7,11111,0,0
0,1',105.3,412.5,1001,0,0
0,3x10',120.5,439.7,10000,0,0
0,3x2000m,115.8,419.0,11,0,0
0,2x10',119.3,419.3,101100,0,0
0,3x7',115.1,415.6,11110,0,0
0,3x2000m,119.2,428.3,11,0,0
0,3x10',102.2,412.5,10000,0,0
0,3x10',118.0,429.2,10000,0,0
0,1',102.1,431.6,1001,0,0
0,2000m,109.0,421.9,1010,0,0
0,3x7',114.9,415.6,11110,0,0
0,3x2000m,118.8,428.3,11,0,0
0,1000m+500m,105.8,427.7,10110,0,0
0,1500m+500m,107.6,420.3,10010,0,0
0,1000m+500m,102.1,428.3,10110,0,0
0,3x2000m,116.3,427.7,11,0,0
0,3x2000m,125.3,427.7,11,0,0
0,100m,91.5,423.2,11011,0,0
0,3x10',118.6,429.2,10000,0,0
0,1500m+500m,108.0,431.6,10010,0,0
0,3x2000m,126.1,420.3,11,0,0
0,3x2000m,120.9,428.3,11,0,0
0,1',103.1,418.6,1001,0,0
0,3x7',126.3,449.0,11110,0,0
0,1000m+500m,110.7,428.3,10110,0,0
0,1500m+500m,102.2,416.9,10010,0,0
0,2x2000m,112.8,412.5,1100,0,0
0,3x2000m,117.2,428.3,11,0,0
0,3x2000m,108.9,421.9,11,0,0
0,3x2000m,117.0,428.3,11,0,0
0,3x8',118.3,420.5,11111,0,0
0,3x2000m,114.6,427.7,11,0,0
0,3x7',121.9,428.3,11110,0,0
0,3x2000m,118.8,427.7,11,0,0
0,3x2000m,110.7,402.7,11,0,0
0,1500m+500m,102.1,420.3,10010,0,0
0,1',101.4,420.8,1001,0,0
0,3x7',120.1,428.3,11110,0,0
0,3x8',111.9,405.5,11111,0,0
0,3x10',115.4,419.3,10000,0,0
0,1500m+500m,108.6,432.4,10010,0,0
0,1',104.8,432.4,1001,0,0
0,2000m,104.5,411.4,1010,0,0
0,3x7',119.2,427.7,11110,0,0
0,3x8',116.3,420.5,11111,0,0
0,3x2000m,115.8,402.7,11,0,0
0,3x10',119.2,432.4,10000,0,0
0,3x2000m,125.8,419.0,11,0,0
0,1',102.9,418.6,1001,0,0
0,3x2000m,119.7,427.7,11,0,0
0,1500m+500m,105.8,428.3,10010,0,0
0,3x10',120.0,439.7,10000,0,0
0,2x2000m,107.1,418.6,1100,0,0
0,3x2000m,113.9,420.3,11,0,0
0,3x7',113.5,415.6,11110,0,0
0,3x2000m,118.9,427.7,11,0,0
0,3x2000m,112.9,421.9,11,0,0
0,3x2000m,124.9,449.0,11,0,0
0,3x10',118.3,432.4,10000,0,0
0,1500m+500m,96.5,419.0,10010,0,0
0,3x7',123.1,428.3,11110,0,0
0,3x4000m,113.9,428.3,1110,0,0
0,3x2000m,114.7,405.5,11,0,0
0,1500m+500m,107.6,431.6,10010,0,0
0,1',107.0,412.5,1001,0,0
0,3x10',115.2,420.8,10000,0,0
0,3x10',102.1,412.5,10000,0,0
0,3x2000m,120.8,420.3,11,0,0
0,3x7',110.0,405.5,11110,0,0
0,3x2000m,120.4,428.3,11,0,0
0,3x7',113.8,415.6,11110,0,0
0,1500m+500m,114.3,416.9,10010,0,0
0,3x2000m,117.6,420.5,11,0,0
0,3x10',115.6,439.7,10000,0,0
0,1',103.6,412.5,1001,0,0
0,3x2000m,116.9,427.7,11,0,0
0,3x2000m,119.4,420.3,11,0,0
0,2000m,107.3,420.3,1010,0,0
0,3x4000m,119.1,427.7,1110,0,0
0,3x7',110.3,405.5,11110,0,0
0,3x10',120.3,418.6,10000,0,0
0,3x2000m,119.2,420.3,11,0,0
0,3x2000m,124.4,420.3,11,0,0
0,3x2000m,120.7,427.7,11,0,0
0,3x10',127.0,429.2,10000,0,0
0,3x7',125.1,449.0,11110,0,0
0,1500m+500m,105.8,427.7,10010,0,0
0,3x2000m,120.3,421.9,11,0,0
0,3x10',119.5,439.7,10000,0,0
0,3x10',117.5,412.5,10000,0,0
0,3x2000m,118.1,420.3,11,0,0
0,5x5',111.2,423.2,0,0,0
0,1',104.4,431.6,1001,0,0
0,2x2000m,106.7,419.3,1100,0,0
0,3x7',119.0,427.7,11110,0,0
0,1500m+500m,104.3,420.8,10010,0,0
0,3x2000m,112.4,407.8,11,0,1
0,3x10',110.8,391.2,10000,0,1
0,1',104.9,411.8,1001,0,1
0,3x10',117.6,407.0,10000,0,1
0,4x8',108.2,409.9,1111,0,1
0,3x12',112.6,423.4,11000,0,1
0,1',101.3,419.4,1001,0,1
0,1500m+500m,102.8,411.8,10010,0,1
0,3x10',111.3,387.9,10000,0,1
0,1500m+500m,96.2,390.0,10010,0,1
0,3x2000m,105.2,412.3,11,0,1
0,3x10',121.5,419.4,10000,0,1
0,3x10',118.0,406.7,10000,0,1
0,3x2000m,105.6,390.7,11,0,1
0,3x2000m,109.0,408.0,11,0,1
0,2x25',118.1,415.2,11001,0,1
0,8x500m,102.7,415.2,11010,0,1
0,1',95.4,400.0,1001,0,1
0,3x2000m,104.6,390.7,11,0,1
0,3x2000m,113.5,400.9,11,0,1
0,6x500m,99.3,407.6,111,0,1
0,2x2000m,102.9,398.2,1100,0,1
0,4x8',108.0,421.0,1111,0,1
0,1',96.6,397.2,1001,0,1
0,3x10',115.3,409.4,10000,0,1
0,8x3',106.1,412.3,10011,0,1
0,3x1000m,98.3,402.6,110,0,1
0,3x2000m,105.3,396.4,11,0,1
0,1',98.6,402.7,1001,0,1
0,4x8',109.9,409.9,1111,0,1
0,3x4000m,111.4,408.0,1110,0,1
0,3x1000m,99.2,408.4,110,0,1
0,6x500m,106.0,409.9,111,0,1
0,3x2000m,108.7,406.8,11,0,1
0,3x10',109.2,402.7,10000,0,1
0,3x10',116.2,411.8,10000,0,1
0,8x3',103.8,410.6,10011,0,1
0,3x2000m,107.0,390.0,11,0,1
0,2x2000m,105.3,406.6,1100,0,1
0,3x2000m,102.7,400.0,11,0,1
0,3x10',116.2,406.6,10000,0,1
0,3x2000m,115.5,414.3,11,0,1
0,4x8',109.3,412.3,1111,0,1
0,1',96.1,411.4,1001,0,1
0,3x10',116.7,419.4,10000,0,1
0,3x10',109.2,400.2,10000,0,1
0,6x500m,94.0,390.0,111,0,1
0,6x500m,94.0,409.9,111,0,1
0,3x10',111.9,411.8,10000,0,1
0,3x2000m,108.5,410.6,11,0,1
0,3x2000m,106.9,400.9,11,0,1
0,2x2000m+500m,108.4,411.8,10101,0,1
0,4x8',107.9,399.6,1111,0,1
0,6x500m,102.0,409.9,111,0,1
0,8x3',105.6,421.0,10011,0,1
0,8x3',105.6,409.9,10011,0,1
0,8x3',108.4,421.0,10011,0,1
0,4x8',114.8,407.2,1111,0,1
0,4x5',108.7,415.2,10111,0,1
0,3x10',114.9,423.2,10000,0,1
0,1',94.5,397.2,1001,0,1
0,3x2000m,111.1,408.0,11,0,1
0,6x500m,101.0,401.2,111,0,1
0,3x2000m,109.5,407.0,11,0,1
0,1',99.9,419.4,1001,0,1
0,4x8',110.0,407.2,1111,0,1
0,8x3',108.5,421.0,10011,0,1
0,6000m,105.7,396.4,100,0,1
0,2x2000m,100.8,389.1,1100,0,1
0,3x2000m,107.9,401.4,11,0,1
0,3x10',111.2,400.2,10000,0,1
0,3x10',112.8,411.8,10000,0,1
0,3x12',112.0,416.7,11000,0,1
0,2x2000m,108.1,423.2,1100,0,1
0,1',95.6,393.0,1001,0,1
0,8x3',105.8,407.2,10011,0,1
0,8x5',107.9,396.4,1101,0,1
0,6x500m,103.0,402.7,111,0,1
0,3x10',116.4,406.7,10000,0,1
0,3x1000m,103.0,415.2,110,0,1
0,3x2000m,103.8,400.0,11,0,1
0,1',96.8,404.3,1001,0,1
0,1',96.2,393.0,1001,0,1
0,1',97.6,411.4,1001,0,1
0,6x500m,108.0,421.0,111,0,1
0,3x10',110.1,408.0,10000,0,1
0,8x3',103.8,401.2,10011,0,1
0,8x3',106.2,409.9,10011,0,1
0,3x2000m,106.5,396.4,11,0,1
0,4x750m,98.2,401.2,10100,0,1
0,3x10',112.5,402.7,10000,0,1
0,8x3',102.8,401.2,10011,0,1
0,3x2000m,112.0,407.2,11,0,1
0,6x500m,100.0,412.3,111,0,1
0,1',100.9,419.4,1001,0,1
0,4x8',108.4,409.9,1111,0,1
0,1',101.6,407.6,1001,0,1
0,8x500m,94.2,415.2,11010,0,1
0,3x4000m,111.0,402.2,1110,0,1
0,1',99.1,402.7,1001,0,1
0,8x3',102.7,401.2,10011,0,1
0,8x5',106.5,396.4,1101,0,1
0,8x3',104.6,410.6,10011,0,1
0,3x10',117.5,420.9,10000,0,1
0,3x12',112.6,408.4,11000,0,1
0,1',99.0,402.2,1001,0,1
0,3x2000m,97.3,374.2,11,0,1
0,3x4000m,106.8,396.2,1110,0,1
0,3x2000m,111.4,413.2,11,0,1
0,3x2000m,117.3,421.0,11,0,1
0,3x2000m,109.2,401.2,11,0,1
0,4x8',109.5,408.0,1111,0,1
0,4x5',108.3,414.6,10111,0,1
0,6x500m,104.0,410.6,111,0,1
0,3x10',108.1,397.2,10000,0,1
0,3x2000m,118.0,399.6,11,0,1
0,1',96.7,411.4,1001,0,1
0,3x10',109.7,391.2,10000,0,1
0,3x10',113.7,406.6,10000,0,1
0,3x12',108.6,402.6,11000,0,1
0,8x3',109.0,399.6,10011,0,1
0,3x2000m,113.0,407.2,11,0,1
0,1500m+500m,96.6,391.2,10010,0,1
0,8x3',107.0,410.6,10011,0,1
0,3x2000m,105.2,398.8,11,0,1
0,8x500m,103.4,423.4,11010,0,1
0,1',99.1,400.0,1001,0,1
0,1',100.7,408.0,1001,0,1
0,3x2000m,109.3,407.8,11,0,1
0,3x10',118.2,419.4,10000,0,1
0,30',110.2,401.2,1011,0,1
0,1',100.4,406.7,1001,0,1
0,2x25',116.8,416.7,11001,0,1
0,3x10',107.0,390.0,10000,0,1
0,3x10',114.9,406.7,10000,0,1
0,2x2000m+500m,105.9,406.8,10101,0,1
0,1',101.9,423.2,1001,0,1
0,4x8',112.1,412.3,1111,0,1
0,3x10',106.3,387.9,10000,0,1
0,3x10',114.3,414.3,10000,0,1
0,3x10',114.4,409.4,10000,0,1
0,1',100.2,419.4,1001,0,1
0,1',101.3,411.8,1001,0,1
0,8x3',102.7,401.2,10011,0,1
0,6x500m,95.0,409.9,111,0,1
0,3x2000m,106.3,400.9,11,0,1
0,3x2000m,113.0,407.2,11,0,1
0,6x500m,105.8,407.6,111,0,1
0,8x3',103.9,410.6,10011,0,1
0,3x2000m,113.0,407.2,11,0,1
0,4x8',110.1,399.6,1111,0,1
0,3x2000m,102.9,381.0,11,0,1
0,2x2000m,101.3,393.0,1100,0,1
0,1000m+500m,98.5,402.7,10110,0,1
0,1',106.5,423.2,1001,0,1
0,8x3',101.2,399.6,10011,0,1
